,robustness,r10,r90,output,stage,sector_hazard,cc_scenario,portfolio
0,195.03,0,0,DamAgr_f_tot,1,flood_agr,D,00_00_00_00
1,186.33,0,0,DamAgr_f_tot,1,flood_agr,D,01_00_00_00
2,171.98,0,0,DamAgr_f_tot,1,flood_agr,D,02_00_00_00
3,180.65,0,0,DamAgr_f_tot,1,flood_agr,D,03_00_00_00
4,167.53,0,0,DamAgr_f_tot,1,flood_agr,D,04_00_00_00
5,108.72,0,0,DamAgr_f_tot,1,flood_agr,D,05_00_00_00
6,112.18,0,0,DamAgr_f_tot,1,flood_agr,D,06_00_00_00
7,97.4,0,0,DamAgr_f_tot,1,flood_agr,D,07_00_00_00
8,97.21,0,0,DamAgr_f_tot,1,flood_agr,D,08_00_00_00
9,0.0,0,0,invest_f_a,1,flood_agr,D,00_00_00_00
10,15.0,0,0,invest_f_a,1,flood_agr,D,01_00_00_00
11,92.74,0,0,invest_f_a,1,flood_agr,D,02_00_00_00
12,13.72,0,0,invest_f_a,1,flood_agr,D,03_00_00_00
13,79.64,0,0,invest_f_a,1,flood_agr,D,04_00_00_00
14,197.2,0,0,invest_f_a,1,flood_agr,D,05_00_00_00
15,113.5,0,0,invest_f_a,1,flood_agr,D,06_00_00_00
16,142.72,0,0,invest_f_a,1,flood_agr,D,07_00_00_00
17,142.29,0,0,invest_f_a,1,flood_agr,D,08_00_00_00
18,966.77,0,0,revenue_agr,1,flood_agr,D,00_00_00_00
19,934.54,0,0,revenue_agr,1,flood_agr,D,01_00_00_00
20,967.15,0,0,revenue_agr,1,flood_agr,D,02_00_00_00
21,905.85,0,0,revenue_agr,1,flood_agr,D,03_00_00_00
22,906.14,0,0,revenue_agr,1,flood_agr,D,04_00_00_00
23,967.76,0,0,revenue_agr,1,flood_agr,D,05_00_00_00
24,967.76,0,0,revenue_agr,1,flood_agr,D,06_00_00_00
25,968.08,0,0,revenue_agr,1,flood_agr,D,07_00_00_00
26,954.04,0,0,revenue_agr,1,flood_agr,D,08_00_00_00
27,0.0,0,0,pathways_list_f_a,1,flood_agr,D,00_00_00_00
28,1.9,0,0,pathways_list_f_a,1,flood_agr,D,01_00_00_00
29,1.8,0,0,pathways_list_f_a,1,flood_agr,D,02_00_00_00
30,1.8,0,0,pathways_list_f_a,1,flood_agr,D,03_00_00_00
31,1.7,0,0,pathways_list_f_a,1,flood_agr,D,04_00_00_00
32,1.6,0,0,pathways_list_f_a,1,flood_agr,D,05_00_00_00
33,1.6,0,0,pathways_list_f_a,1,flood_agr,D,06_00_00_00
34,1.3,0,0,pathways_list_f_a,1,flood_agr,D,07_00_00_00
35,1.3,0,0,pathways_list_f_a,1,flood_agr,D,08_00_00_00
36,308.47,0,0,DamAgr_f_tot,1,flood_agr,G,00_00_00_00
37,259.14,0,0,DamAgr_f_tot,1,flood_agr,G,01_00_00_00
38,217.09,0,0,DamAgr_f_tot,1,flood_agr,G,02_00_00_00
39,255.69,0,0,DamAgr_f_tot,1,flood_agr,G,03_00_00_00
40,222.71,0,0,DamAgr_f_tot,1,flood_agr,G,04_00_00_00
41,156.35,0,0,DamAgr_f_tot,1,flood_agr,G,05_00_00_00
42,168.23,0,0,DamAgr_f_tot,1,flood_agr,G,06_00_00_00
43,114.98,0,0,DamAgr_f_tot,1,flood_agr,G,07_00_00_00
44,114.78,0,0,DamAgr_f_tot,1,flood_agr,G,08_00_00_00
45,0.0,0,0,invest_f_a,1,flood_agr,G,00_00_00_00
46,63.17,0,0,invest_f_a,1,flood_agr,G,01_00_00_00
47,115.58,0,0,invest_f_a,1,flood_agr,G,02_00_00_00
48,48.17,0,0,invest_f_a,1,flood_agr,G,03_00_00_00
49,113.67,0,0,invest_f_a,1,flood_agr,G,04_00_00_00
50,240.02,0,0,invest_f_a,1,flood_agr,G,05_00_00_00
51,113.89,0,0,invest_f_a,1,flood_agr,G,06_00_00_00
52,142.72,0,0,invest_f_a,1,flood_agr,G,07_00_00_00
53,142.29,0,0,invest_f_a,1,flood_agr,G,08_00_00_00
54,966.0,0,0,revenue_agr,1,flood_agr,G,00_00_00_00
55,921.49,0,0,revenue_agr,1,flood_agr,G,01_00_00_00
56,950.73,0,0,revenue_agr,1,flood_agr,G,02_00_00_00
57,903.14,0,0,revenue_agr,1,flood_agr,G,03_00_00_00
58,903.37,0,0,revenue_agr,1,flood_agr,G,04_00_00_00
59,967.54,0,0,revenue_agr,1,flood_agr,G,05_00_00_00
60,962.65,0,0,revenue_agr,1,flood_agr,G,06_00_00_00
61,967.92,0,0,revenue_agr,1,flood_agr,G,07_00_00_00
62,953.88,0,0,revenue_agr,1,flood_agr,G,08_00_00_00
63,0.0,0,0,pathways_list_f_a,1,flood_agr,G,00_00_00_00
64,2.5,0,0,pathways_list_f_a,1,flood_agr,G,01_00_00_00
65,2.4,0,0,pathways_list_f_a,1,flood_agr,G,02_00_00_00
66,2.4,0,0,pathways_list_f_a,1,flood_agr,G,03_00_00_00
67,2.2,0,0,pathways_list_f_a,1,flood_agr,G,04_00_00_00
68,2.0,0,0,pathways_list_f_a,1,flood_agr,G,05_00_00_00
69,2.1,0,0,pathways_list_f_a,1,flood_agr,G,06_00_00_00
70,1.3,0,0,pathways_list_f_a,1,flood_agr,G,07_00_00_00
71,1.3,0,0,pathways_list_f_a,1,flood_agr,G,08_00_00_00
72,570.68,0,0,DamAgr_f_tot,1,flood_agr,Wp,00_00_00_00
73,333.62,0,0,DamAgr_f_tot,1,flood_agr,Wp,01_00_00_00
74,294.08,0,0,DamAgr_f_tot,1,flood_agr,Wp,02_00_00_00
75,356.93,0,0,DamAgr_f_tot,1,flood_agr,Wp,03_00_00_00
76,294.27,0,0,DamAgr_f_tot,1,flood_agr,Wp,04_00_00_00
77,169.64,0,0,DamAgr_f_tot,1,flood_agr,Wp,05_00_00_00
78,253.06,0,0,DamAgr_f_tot,1,flood_agr,Wp,06_00_00_00
79,170.7,0,0,DamAgr_f_tot,1,flood_agr,Wp,07_00_00_00
80,171.3,0,0,DamAgr_f_tot,1,flood_agr,Wp,08_00_00_00
81,0.0,0,0,invest_f_a,1,flood_agr,Wp,00_00_00_00
82,216.18,0,0,invest_f_a,1,flood_agr,Wp,01_00_00_00
83,201.55,0,0,invest_f_a,1,flood_agr,Wp,02_00_00_00
84,187.14,0,0,invest_f_a,1,flood_agr,Wp,03_00_00_00
85,171.7,0,0,invest_f_a,1,flood_agr,Wp,04_00_00_00
86,254.58,0,0,invest_f_a,1,flood_agr,Wp,05_00_00_00
87,186.02,0,0,invest_f_a,1,flood_agr,Wp,06_00_00_00
88,188.61,0,0,invest_f_a,1,flood_agr,Wp,07_00_00_00
89,187.53,0,0,invest_f_a,1,flood_agr,Wp,08_00_00_00
90,964.05,0,0,revenue_agr,1,flood_agr,Wp,00_00_00_00
91,911.4,0,0,revenue_agr,1,flood_agr,Wp,01_00_00_00
92,932.88,0,0,revenue_agr,1,flood_agr,Wp,02_00_00_00
93,895.01,0,0,revenue_agr,1,flood_agr,Wp,03_00_00_00
94,894.7,0,0,revenue_agr,1,flood_agr,Wp,04_00_00_00
95,967.06,0,0,revenue_agr,1,flood_agr,Wp,05_00_00_00
96,939.35,0,0,revenue_agr,1,flood_agr,Wp,06_00_00_00
97,967.26,0,0,revenue_agr,1,flood_agr,Wp,07_00_00_00
98,931.63,0,0,revenue_agr,1,flood_agr,Wp,08_00_00_00
99,0.0,0,0,pathways_list_f_a,1,flood_agr,Wp,00_00_00_00
100,3.7,0,0,pathways_list_f_a,1,flood_agr,Wp,01_00_00_00
101,3.5,0,0,pathways_list_f_a,1,flood_agr,Wp,02_00_00_00
102,3.5,0,0,pathways_list_f_a,1,flood_agr,Wp,03_00_00_00
103,3.3,0,0,pathways_list_f_a,1,flood_agr,Wp,04_00_00_00
104,2.5,0,0,pathways_list_f_a,1,flood_agr,Wp,05_00_00_00
105,3.4,0,0,pathways_list_f_a,1,flood_agr,Wp,06_00_00_00
106,2.3,0,0,pathways_list_f_a,1,flood_agr,Wp,07_00_00_00
107,2.3,0,0,pathways_list_f_a,1,flood_agr,Wp,08_00_00_00
